credit_profile_id,cust_account_id,credit_limit,currency_code,payment_terms,risk_level,risk_score,overdue_tolerance_days,credit_hold_flag,review_date,effective_start_date,effective_end_date,status,created_date,last_update_date
700000001,300000001,671412.55,CNY,NET60,LOW,84.52,0,N,2026-02-26 23:55:00,2026-02-26 23:55:00,,ACTIVE,2026-02-26 23:55:00,2026-02-26 23:55:00
700000002,300000002,18281776.22,CNY,NET60,LOW,59.89,0,N,2025-03-28 12:22:00,2025-03-28 12:22:00,,ACTIVE,2025-03-28 12:22:00,2025-03-28 12:22:00
700000003,300000003,3136559.51,CNY,NET60,MEDIUM,53.46,15,N,2023-11-27 12:50:00,2023-11-27 12:50:00,,ACTIVE,2023-11-27 12:50:00,2023-11-27 12:50:00
700000004,300000004,8699412.62,CNY,NET30,LOW,70.88,0,N,2025-08-26 05:04:00,2025-08-26 05:04:00,,ACTIVE,2025-08-26 05:04:00,2025-08-26 05:04:00
700000005,300000005,179116.96,CNY,NET30,LOW,40.63,0,N,2026-02-10 20:51:00,2026-02-10 20:51:00,,ACTIVE,2026-02-10 20:51:00,2026-02-10 20:51:00
700000006,300000006,106087.08,CNY,PREPAID,LOW,48.89,30,N,2023-10-16 00:44:00,2023-10-16 00:44:00,,ACTIVE,2023-10-16 00:44:00,2023-10-16 00:44:00
700000007,300000007,192027.3,CNY,PREPAID,LOW,49.08,30,N,2023-10-13 05:55:00,2023-10-13 05:55:00,,ACTIVE,2023-10-13 05:55:00,2023-10-13 05:55:00
700000008,300000008,887708.32,CNY,NET30,LOW,43.9,0,N,2025-08-12 21:39:00,2025-08-12 21:39:00,,ACTIVE,2025-08-12 21:39:00,2025-08-12 21:39:00
700000009,300000009,17008887.66,CNY,PREPAID,LOW,46.01,0,N,2025-12-21 02:33:00,2025-12-21 02:33:00,,ACTIVE,2025-12-21 02:33:00,2025-12-21 02:33:00
700000010,300000010,19779632.66,CNY,NET30,LOW,54.59,15,N,2024-09-13 20:57:00,2024-09-13 20:57:00,,ACTIVE,2024-09-13 20:57:00,2024-09-13 20:57:00
