cust_account_id,party_id,account_number,account_name,account_status,payment_term_code,region_code,created_at
300001,100001,CUST300001,杭州示例客户001有限公司,ACTIVE,NET60,深圳,2025-01-01 00:00:00
300002,100002,CUST300002,苏州示例客户002有限公司,ACTIVE,NET60,苏州,2025-01-01 00:00:00
300003,100003,CUST300003,广州示例客户003有限公司,ACTIVE,NET60,深圳,2025-01-01 00:00:00
300004,100004,CUST300004,苏州示例客户004有限公司,ACTIVE,PREPAID,广州,2025-01-01 00:00:00
300005,100005,CUST300005,苏州示例客户005有限公司,ACTIVE,PREPAID,上海,2025-01-01 00:00:00
300006,100006,CUST300006,广州示例客户006有限公司,ACTIVE,NET90,上海,2025-01-01 00:00:00
300007,100007,CUST300007,北京示例客户007有限公司,ACTIVE,NET30,成都,2025-01-01 00:00:00
300008,100008,CUST300008,苏州示例客户008有限公司,ACTIVE,NET90,上海,2025-01-01 00:00:00
300009,100009,CUST300009,上海示例客户009有限公司,ACTIVE,NET30,广州,2025-01-01 00:00:00
300010,100010,CUST300010,广州示例客户010有限公司,ACTIVE,PREPAID,成都,2025-01-01 00:00:00
300011,100011,CUST300011,北京示例客户011有限公司,ACTIVE,NET60,成都,2025-01-01 00:00:00
300012,100012,CUST300012,广州示例客户012有限公司,ACTIVE,PREPAID,杭州,2025-01-01 00:00:00
300013,100013,CUST300013,苏州示例客户013有限公司,ACTIVE,NET30,成都,2025-01-01 00:00:00
300014,100014,CUST300014,杭州示例客户014有限公司,ACTIVE,NET60,苏州,2025-01-01 00:00:00
300015,100015,CUST300015,深圳示例客户015有限公司,ACTIVE,PREPAID,成都,2025-01-01 00:00:00
300016,100016,CUST300016,杭州示例客户016有限公司,ACTIVE,NET60,上海,2025-01-01 00:00:00
300017,100017,CUST300017,上海示例客户017有限公司,ACTIVE,NET90,杭州,2025-01-01 00:00:00
300018,100018,CUST300018,成都示例客户018有限公司,ACTIVE,NET60,上海,2025-01-01 00:00:00
300019,100019,CUST300019,北京示例客户019有限公司,ACTIVE,NET90,北京,2025-01-01 00:00:00
300020,100020,CUST300020,深圳示例客户020有限公司,ACTIVE,NET30,深圳,2025-01-01 00:00:00
300021,100021,CUST300021,苏州示例客户021有限公司,ACTIVE,PREPAID,广州,2025-01-01 00:00:00
300022,100022,CUST300022,苏州示例客户022有限公司,ACTIVE,NET30,深圳,2025-01-01 00:00:00
300023,100023,CUST300023,苏州示例客户023有限公司,ACTIVE,NET30,深圳,2025-01-01 00:00:00
300024,100024,CUST300024,苏州示例客户024有限公司,ACTIVE,NET60,成都,2025-01-01 00:00:00
300025,100025,CUST300025,广州示例客户025有限公司,ACTIVE,NET90,成都,2025-01-01 00:00:00
300026,100026,CUST300026,成都示例客户026有限公司,ACTIVE,NET30,上海,2025-01-01 00:00:00
300027,100027,CUST300027,成都示例客户027有限公司,ACTIVE,NET60,北京,2025-01-01 00:00:00
300028,100028,CUST300028,深圳示例客户028有限公司,ACTIVE,PREPAID,上海,2025-01-01 00:00:00
300029,100029,CUST300029,上海示例客户029有限公司,ACTIVE,NET30,深圳,2025-01-01 00:00:00
300030,100030,CUST300030,广州示例客户030有限公司,ACTIVE,NET90,苏州,2025-01-01 00:00:00
300031,100031,CUST300031,深圳示例客户031有限公司,ACTIVE,NET60,杭州,2025-01-01 00:00:00
