cust_account_id,party_id,account_number,account_name,customer_class_code,credit_classification,payment_term_code,sales_channel_code,region_code,account_status,open_date,created_date,last_update_date
300000001,100000001,CUST300000001,深圳启元供应链科技有限公司,STANDARD,LOW,NET60,ONLINE,深圳,ACTIVE,2026-02-26 23:55:00,2026-02-26 23:55:00,2026-02-26 23:55:00
300000002,100000002,CUST300000002,杭州智联贸易制造有限公司,STANDARD,LOW,NET60,PARTNER,苏州,ACTIVE,2025-03-28 12:22:00,2025-03-28 12:22:00,2025-03-28 12:22:00
300000003,100000003,CUST300000003,深圳嘉禾医疗有限公司,STANDARD,MEDIUM,NET60,ONLINE,深圳,ACTIVE,2023-11-27 12:50:00,2023-11-27 12:50:00,2023-11-27 12:50:00
300000004,100000004,CUST300000004,上海嘉禾贸易有限公司,STANDARD,LOW,NET30,ONLINE,深圳,ACTIVE,2025-08-26 05:04:00,2025-08-26 05:04:00,2025-08-26 05:04:00
300000005,100000005,CUST300000005,北京华盛物流制造有限公司,STANDARD,LOW,NET30,ONLINE,杭州,ACTIVE,2026-02-10 20:51:00,2026-02-10 20:51:00,2026-02-10 20:51:00
300000006,100000006,CUST300000006,上海启元贸易有限公司,STANDARD,LOW,PREPAID,PARTNER,杭州,ACTIVE,2023-10-16 00:44:00,2023-10-16 00:44:00,2023-10-16 00:44:00
300000007,100000007,CUST300000007,上海恒越材料有限公司,STANDARD,LOW,PREPAID,ONLINE,苏州,ACTIVE,2023-10-13 05:55:00,2023-10-13 05:55:00,2023-10-13 05:55:00
300000008,100000008,CUST300000008,北京嘉禾供应链制造有限公司,STANDARD,LOW,NET30,ONLINE,苏州,ACTIVE,2025-08-12 21:39:00,2025-08-12 21:39:00,2025-08-12 21:39:00
300000009,100000009,CUST300000009,北京嘉禾制造贸易有限公司,STANDARD,LOW,PREPAID,DIRECT,杭州,ACTIVE,2025-12-21 02:33:00,2025-12-21 02:33:00,2025-12-21 02:33:00
300000010,100000010,CUST300000010,北京远辰物流科技有限公司,STANDARD,LOW,NET30,PARTNER,杭州,ACTIVE,2024-09-13 20:57:00,2024-09-13 20:57:00,2024-09-13 20:57:00
300000011,100000011,CUST300000011,上海安拓制造科技有限公司,STANDARD,LOW,PREPAID,DIRECT,深圳,ACTIVE,2026-01-31 22:23:00,2026-01-31 22:23:00,2026-01-31 22:23:00
300000012,100000012,CUST300000012,上海嘉禾科技贸易有限公司,STANDARD,LOW,NET30,ONLINE,上海,ACTIVE,2025-09-02 02:15:00,2025-09-02 02:15:00,2025-09-02 02:15:00
300000013,100000013,CUST300000013,深圳融信供应链贸易有限公司,STANDARD,LOW,NET60,ONLINE,苏州,ACTIVE,2025-10-20 09:07:00,2025-10-20 09:07:00,2025-10-20 09:07:00
300000014,100000014,CUST300000014,上海远辰医疗制造有限公司,STANDARD,LOW,NET30,DIRECT,苏州,ACTIVE,2025-07-16 22:55:00,2025-07-16 22:55:00,2025-07-16 22:55:00
300000015,100000015,CUST300000015,杭州融信科技制造有限公司,STANDARD,LOW,NET30,ONLINE,杭州,ACTIVE,2025-03-22 22:03:00,2025-03-22 22:03:00,2025-03-22 22:03:00
300000016,100000016,CUST300000016,杭州智联科技科技有限公司,STANDARD,MEDIUM,NET30,DIRECT,苏州,ACTIVE,2024-01-14 01:54:00,2024-01-14 01:54:00,2024-01-14 01:54:00
300000017,100000017,CUST300000017,苏州恒越物流贸易有限公司,STANDARD,LOW,NET30,ONLINE,深圳,ACTIVE,2025-07-02 22:54:00,2025-07-02 22:54:00,2025-07-02 22:54:00
300000018,100000018,CUST300000018,黄军勇,STANDARD,LOW,NET30,ONLINE,深圳,ACTIVE,2024-05-17 10:40:00,2024-05-17 10:40:00,2024-05-17 10:40:00
300000019,100000019,CUST300000019,苏州启元供应链供应链有限公司,STANDARD,MEDIUM,NET30,ONLINE,上海,ACTIVE,2025-01-02 02:47:00,2025-01-02 02:47:00,2025-01-02 02:47:00
300000020,100000020,CUST300000020,深圳嘉禾材料贸易有限公司,STANDARD,MEDIUM,NET30,ONLINE,深圳,ACTIVE,2024-08-18 17:15:00,2024-08-18 17:15:00,2024-08-18 17:15:00
300000021,100000021,CUST300000021,上海嘉禾电子供应链有限公司,STANDARD,LOW,NET60,PARTNER,北京,ACTIVE,2025-01-01 04:08:00,2025-01-01 04:08:00,2025-01-01 04:08:00
300000022,100000022,CUST300000022,杭州启元材料有限公司,STANDARD,MEDIUM,NET30,PARTNER,杭州,ACTIVE,2026-01-07 19:51:00,2026-01-07 19:51:00,2026-01-07 19:51:00
300000023,100000023,CUST300000023,上海云启物流供应链有限公司,STANDARD,LOW,NET30,PARTNER,苏州,ACTIVE,2025-01-25 06:13:00,2025-01-25 06:13:00,2025-01-25 06:13:00
300000024,100000024,CUST300000024,杭州华盛科技供应链有限公司,STANDARD,LOW,NET30,PARTNER,深圳,ACTIVE,2025-09-25 22:44:00,2025-09-25 22:44:00,2025-09-25 22:44:00
300000025,100000025,CUST300000025,深圳恒越供应链有限公司,STANDARD,MEDIUM,NET60,DIRECT,深圳,ACTIVE,2026-03-10 04:51:00,2026-03-10 04:51:00,2026-03-10 04:51:00
300000026,100000026,CUST300000026,杭州启元电子贸易有限公司,STANDARD,LOW,PREPAID,ONLINE,苏州,ACTIVE,2025-09-08 21:23:00,2025-09-08 21:23:00,2025-09-08 21:23:00
300000027,100000027,CUST300000027,深圳融信贸易有限公司,STANDARD,MEDIUM,NET60,ONLINE,北京,ACTIVE,2024-06-18 09:15:00,2024-06-18 09:15:00,2024-06-18 09:15:00
300000028,100000028,CUST300000028,北京嘉禾材料贸易有限公司,STANDARD,LOW,NET30,ONLINE,北京,ACTIVE,2025-05-02 18:29:00,2025-05-02 18:29:00,2025-05-02 18:29:00
300000029,100000029,CUST300000029,杭州安拓材料供应链有限公司,STANDARD,MEDIUM,NET30,ONLINE,深圳,ACTIVE,2025-07-24 14:18:00,2025-07-24 14:18:00,2025-07-24 14:18:00
300000030,100000030,CUST300000030,苏州明川制造科技有限公司,STANDARD,LOW,NET60,DIRECT,北京,ACTIVE,2025-09-13 14:46:00,2025-09-13 14:46:00,2025-09-13 14:46:00
300000031,100000031,CUST300000031,北京明川科技贸易有限公司,STANDARD,LOW,NET30,ONLINE,北京,ACTIVE,2025-07-15 08:53:00,2025-07-15 08:53:00,2025-07-15 08:53:00
300000032,100000032,CUST300000032,北京华盛供应链贸易有限公司,STANDARD,LOW,NET60,PARTNER,北京,ACTIVE,2024-07-03 22:21:00,2024-07-03 22:21:00,2024-07-03 22:21:00
300000033,100000033,CUST300000033,上海安拓医疗有限公司,STANDARD,LOW,NET30,DIRECT,苏州,ACTIVE,2025-08-03 15:10:00,2025-08-03 15:10:00,2025-08-03 15:10:00
300000034,100000034,CUST300000034,上海启元材料有限公司,STANDARD,LOW,NET60,ONLINE,苏州,ACTIVE,2024-11-03 06:29:00,2024-11-03 06:29:00,2024-11-03 06:29:00
300000035,100000035,CUST300000035,深圳启元科技科技有限公司,STANDARD,LOW,NET30,DIRECT,北京,ACTIVE,2024-06-18 08:55:00,2024-06-18 08:55:00,2024-06-18 08:55:00
300000036,100000036,CUST300000036,张勇静,STANDARD,HIGH,NET60,DIRECT,北京,ACTIVE,2024-12-12 10:57:00,2024-12-12 10:57:00,2024-12-12 10:57:00
300000037,100000037,CUST300000037,上海嘉禾制造制造有限公司,STANDARD,LOW,NET30,PARTNER,上海,ACTIVE,2025-12-04 09:53:00,2025-12-04 09:53:00,2025-12-04 09:53:00
300000038,100000038,CUST300000038,杭州明川医疗供应链有限公司,STANDARD,LOW,NET30,PARTNER,上海,ACTIVE,2025-05-29 05:23:00,2025-05-29 05:23:00,2025-05-29 05:23:00
300000039,100000039,CUST300000039,杭州华盛物流科技有限公司,STANDARD,MEDIUM,PREPAID,DIRECT,北京,ACTIVE,2024-04-07 11:36:00,2024-04-07 11:36:00,2024-04-07 11:36:00
300000040,100000040,CUST300000040,北京云启制造供应链有限公司,STANDARD,MEDIUM,PREPAID,ONLINE,杭州,ACTIVE,2025-04-18 04:16:00,2025-04-18 04:16:00,2025-04-18 04:16:00
300000041,100000041,CUST300000041,苏州嘉禾电子供应链有限公司,STANDARD,HIGH,NET30,DIRECT,深圳,ACTIVE,2026-03-01 22:40:00,2026-03-01 22:40:00,2026-03-01 22:40:00
300000042,100000042,CUST300000042,北京华盛供应链供应链有限公司,STANDARD,HIGH,NET30,PARTNER,杭州,ACTIVE,2024-12-15 15:18:00,2024-12-15 15:18:00,2024-12-15 15:18:00
300000043,100000043,CUST300000043,北京安拓电子科技有限公司,STANDARD,LOW,NET90,PARTNER,苏州,ACTIVE,2026-03-08 02:35:00,2026-03-08 02:35:00,2026-03-08 02:35:00
300000044,100000044,CUST300000044,杭州明川科技制造有限公司,STANDARD,MEDIUM,NET30,ONLINE,深圳,ACTIVE,2025-12-28 14:40:00,2025-12-28 14:40:00,2025-12-28 14:40:00
300000045,100000045,CUST300000045,苏州恒越电子供应链有限公司,STANDARD,HIGH,NET30,DIRECT,杭州,ACTIVE,2023-12-28 06:37:00,2023-12-28 06:37:00,2023-12-28 06:37:00
300000046,100000046,CUST300000046,杭州安拓科技贸易有限公司,STANDARD,MEDIUM,NET30,DIRECT,上海,ACTIVE,2024-06-18 09:02:00,2024-06-18 09:02:00,2024-06-18 09:02:00
